year,ASMR,urbanization,dazhuanper,avgeduyrs,60_laborincome_per,60_pension_per,60_SRH_good,avgrent_fee,avgmonthNDVI,PM2.5,O3,secindust_per,terindust_per,GDP,logincomeperper,perGDP,doctor1k,numbed1k
2020,3.585832192,49.26578473,11.9649773,8.727029684,14.70316388,26.60504799,52.67685745,673.2755371,0.686389457,23.9572941,85.3151783,34.22,46.68,7540000,10.43631926,37539,2.222766749,3.535608594
2020,4.848030735,48.525338,12.28504279,8.979094465,16.78623775,29.57648692,57.18583661,502.0654801,0.668688578,25.7498223,82.82312658,27.2,47.73,7060000,10.49606826,33939,2.176793625,3.582358331
2020,4.795731311,69.93122065,18.66018226,9.86494425,8.422533197,64.82465969,57.83011896,735.0893421,0.645283179,24.38950383,79.63249822,47.25,45.48,31770000,10.55786792,77148,3.017363912,5.150634907
2020,4.771257448,68.90632178,25.82040288,10.42427938,12.35221933,55.03875969,60.29900332,716.3475674,0.648876289,25.47106075,82.31076826,22.94,65.76,47260000,10.55950383,54669,3.303863465,4.881380766
2020,3.485047299,42.01617206,12.81638431,9.00540658,18.21501257,30.13887226,57.73374835,735.6599261,0.683700553,24.51572784,83.72336234,28.1,51.51,13880000,10.52207281,42054,2.047096545,3.693858529
2020,4.24633963,56.55225122,11.56359265,9.023329332,11.53650529,45.72062699,52.87834651,473.0036714,0.710138604,24.2011847,86.95610133,35.43,48.47,10810000,10.45134881,38214,2.429300203,4.411592154
2020,5.01433135,49.75010204,10.22716831,8.897560254,17.09834133,26.23968724,52.09417311,725.2173913,0.701417797,24.03966951,86.53105037,26.18,54.23,17610000,10.52840942,30397,2.065979548,3.537834717
2020,8.260039448,46.4098226,15.03678218,8.783847562,12.04029531,38.05975298,68.21224039,750.1309472,0.600265554,22.51620777,85.16405723,30.3,51.5,9670000,10.43205486,39161,2.03875125,4.622707569
2020,5.992883015,42.12297576,10.89177011,8.04687443,13.06597245,16.74685296,62.49258551,972.9088851,0.614069689,21.62474463,84.89472123,26.39,49.5,20200000,10.44214233,29295,2.349689172,5.091428012
2020,4.788239364,80.07443773,27.89919048,10.4337783,5.244683751,70.36191385,71.65689749,923.85426,0.588205531,22.53175123,81.97888788,36.02,59.86,43120000,10.60423081,72246,3.455309471,6.125587062
2020,7.45801679,48.87036623,14.18887588,8.598900618,8.400903895,37.1195002,70.79622491,674.5961982,0.622430071,21.58961565,84.64292896,44.78,42.46,13400000,10.45259114,44224,2.187292395,5.120065233
2020,6.011141143,45.54868779,14.89436642,8.783788666,11.02579248,26.59480213,57.66883245,700.2668264,0.629654597,21.86548349,77.91859267,21.69744322,57.75663063,11915200,10.44929415,31719,1.7564948,7.318905705
2020,4.992420994,51.52654902,16.76556314,8.914409021,13.69704005,29.93883656,67.59676771,796.3683331,0.623260019,21.94352264,81.2118028,35.30746081,48.72592198,15954000,10.48105552,45654,2.274506101,5.23783155
2020,6.568073192,46.13221665,15.04438012,8.697773249,15.21342082,21.49766624,67.07704796,908.4916523,0.634663593,22.36425022,87.16449814,34.21010302,47.36592636,13534000,10.46749369,44881,2.290130516,6.657795797
2020,5.968628694,46.0417988,15.5512638,9.031802115,12.94627735,19.86992751,55.03014701,1048.171206,0.609563962,23.05912471,77.8297634,25.08,53.16,13280000,10.42815691,40269,2.38383395,5.97156013
2020,6.023258086,56.68845524,13.88953712,8.861530609,10.67591612,31.14935021,57.20849569,856.6705428,0.608482284,23.23517666,80.21238538,43.41,43.41,37200000,10.52379519,56334,2.736777577,6.226884174
2020,2.049575518,19.84225769,25.95165239,7.210347779,10.08902077,61.12759644,51.33531157,728.6729858,0.819030174,16.68115679,92.08387903,12.24643799,46.25963061,568500,10.37211524,32486,2.228307397,5.610234428
2020,3.478361739,34.73428652,22.74311639,6.627783932,10.61007958,74.00530504,45.49071618,782.1782178,0.797257576,14.4940002,87.87775154,14.93571053,75.56431665,402364.52,10.42120934,25612,2.133138596,4.285494658
2020,3.001014677,60.72357878,24.88684252,6.595188569,10.2292769,56.49617872,52.61610817,460.7520564,0.698710762,17.44981815,95.5173928,34.0755199,28.16166758,1450915.5,10.53850232,61610,2.033395944,3.70922438
2020,2.674700063,60.43040207,23.0982171,5.815165271,15.35933392,43.38299737,52.95793164,780.7051282,0.71432191,16.37850639,89.25235577,36.75013381,78.30851918,2242000,10.50755759,45024,2.658885477,6.137125391
2020,2.223051788,54.07787613,29.62912005,7.187440754,14.14103526,35.31507877,51.20030008,983.492823,0.706535697,17.75461988,95.39572992,8.85,52.47,3590000,10.4673799,41003,2.199612474,3.958044933
2020,2.180611404,40.69549334,19.68564425,5.524799628,16.00820934,47.46023602,44.74089277,801.4705882,0.70652672,14.87490793,83.93960791,16.67398653,47.33967847,1058763,10.43052112,41005,2.198882996,5.367241561
2020,2.059478277,58.03382997,27.48007258,6.975372975,11.45962733,46.67701863,52.63975155,719.9095023,0.647873063,17.04057067,93.17148544,37.69583005,35.20495869,1865010,10.49731151,41826,1.856193386,6.205310738
2020,1.697590549,81.75935613,29.28671795,7.873888872,8.373646132,66.81792885,66.15437305,1082.708787,0.624365923,14.80500019,85.16011777,15.05,80.49,17920000,10.59785898,63309,3.728390267,6.078254085
2020,1.775546331,31.23429543,24.76785948,6.531986364,16.84507042,34.30985915,42.98591549,787.0652174,0.705401453,15.66134342,90.34443431,12.62224387,33.1711612,1492214.87,10.35392603,31729,2.00027991,3.95534359
2020,1.750408186,50.11459983,24.74724712,5.886770661,18.72404681,35.03208758,46.73461684,565.0862069,0.705799419,17.4798905,93.43537276,5.774662232,32.40660219,2042232,10.36998504,48274,1.333827872,5.261606205
2020,1.61989778,42.45753817,21.52643858,5.825158394,19.80450489,26.43433914,50.99872503,860.2006689,0.676091176,14.01460544,84.88743618,17.12956124,63.31047944,1786140.32,10.42234087,52907,1.940882283,4.703216818
2020,2.475864885,49.69805277,20.11854154,5.854372869,15.30663964,43.15762798,56.63963507,807.7484559,0.719317243,13.97452686,81.60447651,13.76473532,53.85098103,2920957,10.51083172,66681,2.797981213,8.628686312
2020,2.908532347,30.50627554,23.36405951,6.549840743,9.457579972,69.12378303,50.4867872,562.7245509,0.80005863,15.15323379,85.0252287,13.7105489,43.26554912,664510.23,10.41682003,36693,2.689519228,5.791097302
2020,3.767425508,70.27892294,24.7531227,6.885068971,11.00957996,59.11569639,59.46941783,1420.833333,0.704370309,14.50941107,89.09795297,16.29,72.33,6950000,10.61021707,68656,3.003695962,4.557900166
2020,2.475286592,44.8520571,21.75196249,5.650073592,16.84408265,38.88541014,47.96493425,756.9602273,0.734422555,15.35528188,85.31209073,12.1247265,52.54947177,889851,10.39690249,34807,2.157949361,6.258444788
2020,1.707936259,41.32075195,20.13315131,5.633683331,17.88780767,29.10704064,48.8838008,898.0487805,0.713822922,13.79869751,82.27692458,21.25198027,48.15418566,2374047,10.48935571,43188,2.152046184,6.849917215
2020,2.54494298,60.94948422,21.75234451,5.786110609,16.73968877,30.01964043,51.50324822,638.0187025,0.635331584,14.0807364,83.82632701,19.956152,45.66104443,2635012,10.50599861,54570,1.814959689,3.339311884
2020,2.485486949,60.25260758,21.92179762,6.875789442,10.14656144,69.67305524,52.42390079,661.2200436,0.821659174,15.30339644,88.37673107,20.03300853,58.33465485,340518,10.37558274,23925,3.349099039,12.49677115
2020,3.636828051,55.66462197,14.47883766,9.720496269,18.50558526,30.31741803,51.14274296,995.659958,0.480779578,43.9273147,107.9294091,33.43,54.15,39540000,10.43740451,34269,3.206850706,4.714035888
2020,3.575064127,51.13578913,15.42766438,9.392386251,20.2558493,39.28422318,60.02271247,911.6719847,0.401169238,48.38061387,115.0434011,38.76,52.73,37000000,10.54106917,50713,3.101996046,4.671005836
2020,3.78582565,56.58404195,19.39681151,9.771695302,11.31237734,46.47533863,50.60004504,1005.871343,0.507080054,26.22747998,98.88990537,32.13,46.19,15500000,10.43170113,46119,3.478668894,5.447400523
2020,4.242729195,58.26608059,11.89293737,9.108203084,23.99238719,37.3894818,61.82635091,738.2500661,0.47492144,53.35825748,115.5381866,43.19,46.44,36370000,10.47723164,38623,2.84958875,4.32059095
2020,2.923358697,54.74179153,12.8816014,9.543798638,23.01816919,29.4439301,56.09883115,711.954023,0.500782949,50.75609277,116.7630255,31.41,53.53,15600000,10.41099769,36938,3.124901345,3.913425635
2020,3.684693848,64.84351366,21.35152039,9.946423232,13.21442388,34.61812555,61.07140676,1186.345296,0.401778815,45.93557922,110.9781622,30.96,62.34,33010000,10.73011612,60989,3.105367832,3.974314465
2020,3.569777519,63.97157812,25.79559289,10.59230399,12.45763825,56.18021805,60.44660449,1025.029735,0.469460316,35.36115665,103.9532125,32.68,53.5,16860000,10.59490824,53821,3.112647954,4.797443574
2020,4.409300175,70.17640096,26.28759982,10.57777042,11.96796416,46.79725792,60.92452544,1154.000453,0.478294763,49.46342012,112.205861,29.4,62.19,59350000,10.60279075,52961,3.880433136,4.95501325
2020,4.404122092,64.31611731,20.36684007,10.08221521,13.20670346,52.95791538,63.77633464,841.9427385,0.36378651,41.31911352,107.5631741,53.21,38.57,72110000,10.69957482,93470,3.223381031,5.061944293
2020,4.654701902,54.0979842,12.89367072,9.104930242,19.96870589,29.35864075,56.52499277,913.1558522,0.487029885,51.63729952,115.1711588,37.41,48.41,22000000,10.40756043,30909,3.195846047,4.443331319
2020,2.849787032,66.10205909,16.52528039,9.636295984,11.507022,52.23069196,54.01918494,717.3219208,0.380434149,26.80198859,101.9526883,26.94,56.31,16000000,10.47996046,38637,1.40765465,5.232940381
2020,4.450375737,53.03915172,15.23846239,9.545134159,15.89052083,38.74880946,59.17840493,663.0948419,0.513983763,54.12752479,115.5294663,43.83,45.78,23000000,10.47285563,42185,2.827508474,4.361022883
2020,4.370486588,60.98470408,15.87836281,9.60555694,17.50237904,41.24149037,57.86545641,716.6927287,0.530885357,55.66979812,115.6277042,56.47,35.58,9810000,10.41711924,62736,2.93236218,5.245301164
2020,4.914188186,67.46949186,24.32573439,10.6458073,12.56716418,33.91044776,63.58208955,711.9205298,0.529988595,49.54801308,111.6590229,60.03612265,35.80692872,7031600,10.51311725,96674,2.552027115,4.592548796
2020,4.557600686,63.03152046,17.85770768,10.17261535,15.06035692,41.93362114,61.5145599,535.538262,0.508948719,53.26918494,115.329143,42,50.56,21240000,10.44674164,60384,2.846855423,5.366254312
